gene,description,colors
107285995,ADP ribosylation factor 1,turquoise
107285996,casein kinase 2 beta,grey60
107285997,obscurin cytoskeletal calmodulin and titin-interacting RhoGEF,red
107285998,wingless-type MMTV integration site family member 9A,black
107285999,synaptosome associated protein 47kDa,brown
107286000,ALS2 C-terminal like,yellow
107286001,transmembrane inner ear,brown
107286002,parathyroid hormone 1 receptor,yellow
107286003,neurobeachin like 2,darkorange
107286005,SET domain containing 2,lightcyan
107286006,kinesin family member 9,green
107286007,galectin-1-like,turquoise
107286009,IBA57 homolog iron-sulfur cluster assembly,saddlebrown
107286010,gap junction protein gamma 2,midnightblue
107286011,guanylate kinase 1,saddlebrown
107286012,mitochondrial ribosomal protein L55,saddlebrown
107286013,chromosome unknown open reading frame human C1orf35,lightcyan
107286015,jumonji domain containing 4,brown
107286016,myosin light chain 3,red
107286017,coiled-coil domain containing 12,saddlebrown
107286018,galectin-1-like,turquoise
107286019,D-threo-3-hydroxyaspartate dehydratase-like,lightcyan
107286020,cathelicidin antimicrobial peptide,pink
107286021,G protein-coupled receptor 87,blue
107286022,purinergic receptor P2Y13,darkturquoise
107286023,NFKB inhibitor like 1,green
107286024,purinergic receptor P2Y12,darkturquoise
107286025,G protein-coupled receptor 171,royalblue
107286026,arylacetamide deacetylase,purple
107286027,uncharacterized LOC107286027,red
107286028,protein 4.1-like,turquoise
107286029,lethal(3)malignant brain tumor-like protein 4,pink
107286030,serine/arginine-rich splicing factor 4,brown
107286031,E3 ubiquitin-protein ligase SIAH2-like,yellow
107286032,protein FAM188B2,red
107286033,mediator complex subunit 12 like,brown
107286034,WD repeat-containing protein 7-like,turquoise
107286035,immunoglobulin superfamily member 10,blue
107286036,mitochondrial trans-2-enoyl-CoA reductase,blue
107286037,clarin 1,turquoise
107286038,succinate receptor 1,darkred
107286039,transmembrane protein 200B,turquoise
107286040,Rap guanine nucleotide exchange factor 2,turquoise
107286041,folliculin interacting protein 2,pink
107286042,electron transfer flavoprotein dehydrogenase,turquoise
107286043,peptidylprolyl isomerase D,cyan
107286044,thioredoxin like 1,grey60
107286046,microfibril-associated glycoprotein 4-like,blue
107286047,serine protease 27-like,green
107286050,ring finger protein 112,cyan
107286051,vomeronasal type-2 receptor 26-like,greenyellow
107286053,nebulin,red
107286055,cadherin 9,blue
107286057,serine/threonine-protein kinase BRSK2,black
107286058,mucin-2-like,pink
107286059,toll interacting protein,turquoise
107286060,mitochondrial ribosomal protein L3,lightcyan
107286061,NIMA related kinase 11,pink
107286062,ATPase secretory pathway Ca2+ transporting 1,lightcyan
107286063,ADP ribosylation factor like GTPase 5A,lightgreen
107286064,asteroid homolog 1 (Drosophila),darkorange
107286065,phosphoinositide-3-kinase regulatory subunit 4,lightcyan
107286066,copine-4-like,red
107286068,collagen alpha-6(VI) chain-like,darkturquoise
107286069,collagen alpha-6(VI) chain-like,greenyellow
107286070,collagen alpha-6(VI) chain-like,turquoise
107286071,collagen alpha-6(VI) chain-like,turquoise
107286072,ATPase phospholipid transporting 9A (putative),turquoise
107286073,nuclear factor of activated T-cells cytoplasmic calcineurin-dependent 2,blue
107286074,tubulin beta-2 chain,midnightblue
107286075,calcium voltage-gated channel auxiliary subunit beta 4,brown
107286076,spalt-like transcription factor 4,black
107286077,ZFP64 zinc finger protein,yellow
107286078,VPS10 domain-containing receptor SorCS1-like,red
107286079,olfactory receptor 14A16-like,tan
107286082,olfactory receptor 14J1-like,magenta
107286083,olfactory receptor 14J1-like,red
107286085,signal transducing adaptor molecule 2,yellow
107286089,olfactory receptor 14A16-like,greenyellow
107286090,olfactory receptor 14C36-like,red
107286091,olfactory receptor 14J1-like,greenyellow
107286093,olfactory receptor 14I1-like,darkred
107286096,phospholipase A1 member A,black
107286098,olfactory receptor 14C36-like,red
107286106,olfactory receptor 14A16-like,greenyellow
107286107,gamma-aminobutyric acid receptor subunit alpha-2,black
107286108,intraflagellar transport 88,green
107286109,exportin 4,turquoise
107286110,large tumor suppressor kinase 2,blue
107286111,Sin3A associated protein 18kDa,grey60
107286112,dynein axonemal heavy chain 14,pink
107286113,mitochondrial ribosomal protein L57,darkred
107286114,zinc finger DHHC-type containing 20,magenta
107286115,mitochondrial calcium uptake 2,pink
107286116,zinc finger MYM-type containing 2,turquoise
107286117,gap junction beta-2 protein-like,blue
107286118,gap junction beta-6 protein-like,magenta
107286119,SH3 domain containing ring finger 1,magenta
107286120,crystallin lambda 1,green
107286121,interleukin 17D,cyan
107286122,eukaryotic translation elongation factor 1 alpha lysine methyltransferase 1,brown
107286123,spindle and kinetochore associated complex subunit 3,cyan
107286124,phosphate regulating endopeptidase homolog X-linked,midnightblue
107286125,spermine synthase,turquoise
107286126,membrane bound transcription factor peptidase site 2,yellow
107286127,small muscle protein X-linked,red
107286128,connector enhancer of kinase suppressor of Ras 2,red
107286129,glycogen synthase kinase 3 beta,turquoise
107286130,kelch like family member 34,red
107286131,histone H1-like,green
107286132,WW domain binding protein 11,yellow
107286133,matrix Gla protein,purple
107286134,Rho GDP dissociation inhibitor (GDI) beta,darkturquoise
107286135,transmembrane protein 140,green
107286136,chromosome unknown open reading frame human C7orf49,royalblue
107286137,WD repeat domain 91,brown
107286138,MYCBP-associated testis expressed 1,green
107286139,probable ATP-dependent RNA helicase DDX47,purple
107286140,pentraxin fusion protein-like,turquoise
107286141,histone H3-like,green
107286142,histone H3-like,turquoise
107286143,ATP/GTP binding protein-like 3,green
107286144,stimulated by retinoic acid 8,blue
107286145,CCR4-NOT transcription complex subunit 4-like,turquoise
107286146,apolipoprotein L domain-containing protein 1-like,brown
107286147,matrix Gla protein-like,brown
107286148,endoplasmic reticulum protein 27,purple
107286149,aminoadipate aminotransferase,tan
107286150,phosphodiesterase 6H,pink
107286151,solute carrier family 23 member 1-like,black
107286152,phosphoinositide-3-kinase regulatory subunit 1,black
107286153,phosphoinositide kinase FYVE-type zinc finger containing,yellow
107286154,isocitrate dehydrogenase 1 (NADP+),salmon
107286155,shugoshin-like 2 (S. pombe),cyan
107286156,pleckstrin homology domain containing M3,turquoise
107286158,cyclin Y like 1,lightgreen
107286159,frizzled class receptor 5,brown
107286160,carnosine N-methyltransferase 1,turquoise
107286161,nicotinamide riboside kinase 1,turquoise
107286162,microfibrillar associated protein 3 like,turquoise
107286163,osteoclast stimulating factor 1,black
107286164,proprotein convertase subtilisin/kexin type 5,black
107286165,riboflavin kinase,turquoise
107286166,transient receptor potential cation channel subfamily M member 6,pink
107286167,glucosaminyl (N-acetyl) transferase 1 core 2,blue
107286169,chromosome unknown open reading frame human C9orf40,brown
107286170,SLIT-ROBO Rho GTPase activating protein 2,blue
107286171,Ras association domain family member 5,blue
107286172,dual specificity tyrosine phosphorylation regulated kinase 3,green
107286173,solute carrier family 22 member 23,brown
107286174,eukaryotic translation initiation factor 2D,turquoise
107286175,oral-facial-digital syndrome 1,green
107286176,trafficking protein particle complex 2,brown
107286177,chromosome unknown open reading frame human C4orf27,pink
107286178,RAB9A member RAS oncogene family,green
107286179,matrix-remodelling associated 5,blue
107286180,uncharacterized LOC107286180,red
107286181,zinc finger protein 208-like,darkred
107286183,zinc finger protein 345-like,blue
107286185,zinc finger protein 345-like,red
107286186,zinc finger and SCAN domain-containing protein 31-like,yellow
107286187,zinc finger and SCAN domain-containing protein 31-like,green
107286188,vomeronasal type-2 receptor 26-like,red
107286190,vomeronasal type-2 receptor 26-like,pink
107286191,chloride voltage-gated channel 3,turquoise
107286192,vomeronasal type-2 receptor 26-like,greenyellow
107286193,vomeronasal type-2 receptor 26-like,greenyellow
107286194,methylmalonic aciduria (cobalamin deficiency) cblA type,turquoise
107286195,SMAD family member 1,blue
107286196,OTU deubiquitinase 4,royalblue
107286197,ATP binding cassette subfamily E member 1,lightgreen
107286198,anaphase promoting complex subunit 10,brown
107286199,zinc finger protein 827,turquoise
107286200,hedgehog interacting protein,black
107286202,LSM6 homolog U6 small nuclear RNA and mRNA degradation associated,brown
107286203,protein kinase (cAMP-dependent catalytic) inhibitor alpha,red
107286204,zinc finger C2HC-type containing 1A,pink
107286205,intraflagellar transport protein 140 homolog,red
107286206,zinc finger FYVE-type containing 19,turquoise
107286207,DnaJ heat shock protein family (Hsp40) member C17,brown
107286208,chromosome unknown open reading frame human C15orf62,black
107286209,GTP cyclohydrolase I feedback regulator,turquoise
107286210,regulator of microtubule dynamics 3,turquoise
107286211,protein-L-isoaspartate(D-aspartate) O-methyltransferase-like,purple
107286212,chromosome unknown open reading frame human C15orf57,purple
107286213,NIMA related kinase 1,green
107286214,isovaleryl-CoA dehydrogenase,turquoise
107286216,RNA pseudouridylate synthase domain containing 2,brown
107286217,bromo adjacent homology domain containing 1,blue
107286218,small kinetochore-associated protein-like,cyan
107286220,InaF motif containing 2,black
107286221,1-phosphatidylinositol 45-bisphosphate phosphodiesterase beta-2-like,cyan
107286222,RAD51 recombinase,cyan
107286223,cytochrome c oxidase copper chaperone,turquoise
107286224,prolactin-releasing peptide receptor-like,greenyellow
107286225,uncharacterized LOC107286225,turquoise
107286226,trans-golgi network protein 2,salmon
107286228,capping actin protein gelsolin like,darkred
107286229,polymerase (DNA) delta 2 accessory subunit,tan
107286230,YKT6 v-SNARE homolog (S. cerevisiae),turquoise
107286231,calcium/calmodulin-dependent protein kinase II beta,red
107286232,peptidylprolyl isomerase A,lightgreen
107286233,popeye domain containing 2,red
107286234,zinc finger MIZ-type containing 2,yellow
107286235,transcription factor 7 like 1,blue
107286236,drebrin like,yellow
107286237,matrix metalloproteinase-17-like,blue
107286238,AE binding protein 1,blue
107286239,glucokinase,blue
107286240,NudC domain containing 3,brown
107286241,melanin-concentrating hormone receptor 2-like,blue
107286242,ELMO domain containing 3,blue
107286243,caspase-3-like,magenta
107286244,QKI KH domain containing RNA binding,blue
107286245,myosin light chain 7,brown
107286246,phosphoglycerate mutase 2,red
107286247,microtubule associated protein 2,turquoise
107286249,glycerol-3-phosphate acyltransferase mitochondrial,red
107286250,zinc finger DHHC-type containing 6,cyan
107286251,transcription factor 7 like 2,blue
107286252,tectorin beta,tan
107286253,PARK2 co-regulated,pink
107286254,guanylate cyclase 2G-like,red
107286255,acyl-CoA synthetase long-chain family member 5,brown
107286256,vesicle transport through interaction with t-SNAREs 1A,purple
107286257,late endosomal/lysosomal adaptor MAPK and MTOR activator 5,grey60
107286258,striatin interacting protein 1,turquoise
107286259,adenosylhomocysteinase like 1,turquoise
107286260,prokineticin 1,greenyellow
107286261,solute carrier family 16 member 4,black
107286262,potassium voltage-gated channel subfamily A member 10,blue
107286263,AHNAK nucleoprotein 2,blue
107286264,embryonic pepsinogen-like,red
107286265,RNA binding motif protein 15,salmon
107286266,potassium voltage-gated channel subfamily C member 4,darkturquoise
107286267,solute carrier family 6 member 17,blue
107286268,colony stimulating factor 1,magenta
107286270,tetratricopeptide repeat domain 38,turquoise
107286271,zinc finger CCCH-type antiviral protein 1-like,darkgreen
107286272,ETS variant 6,turquoise
107286273,LDL receptor related protein 6,blue
107286274,inverted formin FH2 and WH2 domain containing,tan
107286275,peroxisome proliferator activated receptor alpha,darkgrey
107286276,cysteine rich DPF motif domain containing 1,purple
107286277,BCL2 like 14,royalblue
107286278,elongation factor Tu GTP binding domain containing 2,lightcyan
107286279,complement component 1 q subcomponent-like 1,lightcyan
107286280,N-myristoyltransferase 1,lightcyan
107286281,phospholipase C delta 3,red
107286282,acyl-CoA binding domain containing 4,lightcyan
107286284,uncharacterized LOC107286284,red
107286285,protein HEXIM1-like,lightcyan
107286287,family with sequence similarity 187 member B,pink
107286288,kinesin family member 18B,cyan
107286289,unconventional myosin-Id-like,green
107286290,coiled-coil domain containing 103,pink
107286292,denticleless E3 ubiquitin protein ligase homolog,cyan
107286293,dephospho-CoA kinase domain containing,saddlebrown
107286294,enamelin,midnightblue
107286295,ameloblastin,midnightblue
107286296,amelotin,midnightblue
